twin tower case, early_stop at 5: 
result_str: {'auc': 0.5313714494507185,
 'logloss': 0.5764790056676369,
 'ndcg@1': 0.2520190023752969,
 'ndcg@5': 0.4664345684607033,
 'ndcg@10': 0.5028075114044772,
 'precision@1': 0.2520190023752969,
 'precision@5': 0.24563737133808594,
 'precision@10': 0.2415688270557644,
 'recall@1': 0.13997698901130962,
 'recall@5': 0.4863068289489413,
 'recall@10': 0.7198235059496314,
 'map@1': 0.2520190023752969,
 'map@5': 0.38942564001055857,
 'map@10': 0.38262279548927025,
 'mrr@1': 0.4238476160112081,
 'mrr@5': 0.4238476160112081,
 'mrr@10': 0.4238476160112081}

single-tower encoder, early_stop at 5:
{'auc': 0.5303102463181765, 
'logloss': 0.5712438460351701, 
'ndcg@1': 0.2562945368171021, 
'ndcg@5': 0.46595879610357105,
'ndcg@10': 0.5014766734287482, 
'precision@1': 0.2562945368171021,
'precision@5': 0.24639746634996282, 
'precision@10': 0.24028616672322312,
   'recall@1': 0.13863329962390528, 
   'recall@5': 0.48963600423824566, 
   'recall@10': 0.7151767740487707,
   'map@1': 0.2562945368171021, 
   'map@5': 0.38974861441013553, 
   'map@10': 0.38343407993750855, 
   'mrr@1': 0.42323611385712334, 
   'mrr@5': 0.42323611385712334, 
   'mrr@10': 0.42323611385712334}
